Flag,Catalog,Pal,DelPM,NNsep,PMtot,e_PMtot,FeH,Vtot,e_Vtot,Vesc,Infalling,Claim
2,J082716.24-050251.01,,17.62,2.26,22.53,3.99,-0.62,941.63,158.41,506.31,X,pHVS
2,J064542.77+365019.92,,22.34,6.05,23.74,3.94,-0.64,595.41,49.85,541.15,X,pHVS
2,J063533.05+264104.75,,8.66,7.07,31.83,3.39,-0.59,842.99,66.91,536.99,,pHVS
2,J065126.35+281237.57,,10.68,4.14,44.86,4.28,-0.46,1371.39,115.8,525.95,,pHVS
2,J063431.49+270651.41,,2.52,5.85,17.52,9.1,-0.78,710.81,166.77,528.58,X,pHVS
2,J045649.71-052107.43,,17.33,3.55,19.23,3.47,-0.5,620.98,59.54,532.5,,pHVS
2,J065258.59+292553.47,,2.2,3.82,58.05,3.73,-0.38,955.7,93.81,533.13,X,pHVS
2,J065353.13+291842.71,,21.65,5.33,29.2,4.23,-0.63,667.24,64.77,535.35,X,pHVS
2,J063344.83+274319.62,,26.95,7.31,19.9,4.08,-0.49,614.63,63.72,537.44,X,pHVS
2,J064337.13+291410.01,,2.37,6.3,38.09,3.64,-0.55,798.77,57.31,541.26,X,pHVS
2,J065919.68+122028.30,,17.01,5.86,22.24,3.27,-0.7,654.12,54.23,539.26,X,pHVS
2,J173132.55+352937.44,,2.23,9.28,49.87,3.85,-0.54,1099.29,113.8,572.8,,pHVS
2,J011326.87+263336.54,,12.49,5.88,26.68,3.45,-0.6,729.83,84.87,533.47,X,pHVS
2,J085149.94+181136.17,,5.76,5.18,77.5,3.45,-0.34,1236.33,102.05,539.41,,pHVS
2,J025347.64+323620.59,,23.17,7.44,19.42,4.54,-0.44,907.05,126.76,520.07,X,pHVS
2,J030746.77+371352.88,,9.53,3.9,14.57,7.36,-0.17,612.38,139.89,526.76,,pHVS
2,J222514.87+392654.87,,8.93,5,69.71,3.49,-0.4,1563.72,133.94,557.4,,pHVS
2,J070533.27+393721.42,,19.94,6.76,18.25,3.92,-0.77,756.58,93.8,519.18,,pHVS
2,J101131.78+142840.00,,17.59,9.87,28.75,4.09,-0.59,649.77,58.46,546.2,,pHVS
2,J031208.74+423108.62,,13.16,1.82,20.12,4.09,-0.5,662.01,77.04,535.85,,pHVS
2,J070103.95+293953.96,,16,7.08,29.76,3.46,-0.48,815.82,64.64,537.05,,pHVS
2,J070126.09+294925.06,,1.03,7.12,37.49,4.44,-0.47,666.27,47.95,548.15,,pHVS
2,J070723.06+304340.66,,6.09,7.44,30.11,3.42,-0.48,663.39,55.2,541.29,X,pHVS
2,J074801.28+181904.32,,7.64,11.61,31.22,5.13,-0.57,953.85,146.37,512.84,,pHVS
2,J022949.86+005939.54,,20.04,4.39,14.65,3.83,-0.51,566.5,64.3,533.76,,pHVS
2,J001755.41+350541.26,,28.87,5.2,25.3,3.76,-0.6,818.31,88.99,537.12,X,pHVS
3,J131300.50+003337.45,,32.28,3.7,21.42,5.32,-0.53,664.15,107.42,561.11,,pHVS
3,J133729.27+665608.94,,7.23,3.81,127.2,5.76,-0.7,640.17,45.16,567.17,X,pHVS
3,J053553.16+004051.61,,23.65,6.32,25.18,5.05,-0.14,879.44,107.01,534.07,X,pHVS
3,J081928.51+003548.56,,3.29,5.43,46.39,5.41,-0.12,662.95,51.56,553.59,,pHVS
3,J080837.26-000715.91,,14.91,3.17,9.41,5.54,-0.63,633.65,189.01,499.38,,pHVS
3,J095549.51+004537.44,,2.25,5.51,65.45,6.01,-0.14,744.21,52.22,560.16,,pHVS
3,J074713.75+440557.56,,9.46,3.99,67.08,6.16,-0.75,1649.28,137.15,531.71,X,pHVS
3,J212821.84+102357.30,,8.83,4.53,58.94,5.61,-0.07,680.89,56.04,576.62,X,pHVS
3,J072523.53+350313.28,,9.22,4.17,61.39,6.79,-0.44,1258.16,121.21,536.24,X,pHVS
3,J072944.56+382459.95,,5.52,4.37,93.72,8.57,-0.24,1830.41,171.01,534.24,,pHVS
3,J015016.53+143259.09,,31.18,3.07,16.53,6.44,-0.53,716.53,138.35,527.02,X,pHVS
3,J003030.11+142549.36,,21.85,6.56,33.73,4.48,-0.51,801.89,82.74,546.9,X,pHVS
3,J003132.99+142700.94,,1.83,7.29,177.22,5.2,-0.53,2297.58,179.26,555.62,,pHVS
3,J142411.12+572228.35,,17.99,7.17,31.9,4.58,-0.66,591.3,73.23,552.73,,pHVS
3,J093750.49+520739.33,,5.2,4.48,50.03,7.9,-0.59,689.33,101.2,542.68,,pHVS
3,J220348.52-010128.84,,6.85,5.01,70.98,5.03,-0.63,683.83,40.98,574.95,X,pHVS
3,J212155.72-010921.43,,12.97,3.57,43.42,4.3,-0.24,832.56,74.72,580.54,,pHVS
3,J074931.54+264335.66,,20.63,3.24,11.12,5.21,-0.43,566.96,116.44,514.38,X,pHVS
3,J222249.23+003524.95,,1.51,4.97,59.29,5.21,0.19,719.02,52.98,573.04,X,pHVS
3,J001706.67+340346.40,,10.19,5.24,73.34,6.52,-0.63,1230.97,104.87,553.74,X,pHVS
3,J092821.06+071041.31,,5.51,4.32,74.93,7.1,-0.71,1537.52,169.64,537.86,X,pHVS
3,J032055.61+412207.99,,5.58,4.6,68.69,9.35,-0.41,767.77,85.3,551.74,,pHVS
3,J074030.04+183712.50,,15.62,7.48,11.81,5.25,-0.38,583.84,109.89,518.17,,pHVS
3,J091524.87+310005.13,,21.16,4.67,38.22,4.1,-0.4,1129.65,95.8,529.2,,pHVS
3,J074335.68+220616.73,,9.49,4.23,31.34,5.21,0.03,603.56,64.6,542.16,,pHVS
3,J212353.46-002124.55,,8.4,4.58,76.93,5.02,-0.41,1813.07,174.27,577.07,,pHVS
3,J215906.03+004044.58,,5.4,3.26,97.31,6.01,-0.39,1663.14,156.68,572.53,,pHVS
3,J234250.52+393436.02,,27.54,3.18,27.28,6.25,-0.6,663.19,92.01,549.81,X,pHVS
3,J234414.38+430403.72,,14.68,3.24,48.51,4.27,-0.68,859.37,85.55,550.86,,pHVS
3,J222147.99+001711.67,,707.37,10,707.65,10.61,-0.3,5486.8,368.5,573.44,X,pHVS
3,J235103.13+360020.55,,3.03,4.49,68.91,5.35,-0.22,663.23,47.23,564.36,X,pHVS
3,J075408.99+191118.42,*,12.06,11.04,46.96,7.92,-0.34,1664.45,226.47,515.18,X,pHVS
3,J012144.78+001143.23,,12.03,9.63,139.47,3.67,-0.65,2342.53,161.98,550.39,X,pHVS
3,J021739.93+000937.94,,26.89,7.75,30.83,4.29,-0.59,563.37,43.73,552.15,,pHVS
3,J073921.43+444537.50,,44.86,2.55,30.82,3.5,-0.42,590.71,40.11,547.6,,pHVS
3,J011935.66+010127.60,,13.13,15.02,35.85,6.78,-0.73,887.96,100.19,543.93,,pHVS
3,J233707.58+495357.71,,17.27,3.02,39.47,4.11,-0.17,722.37,69.85,553.56,X,pHVS
3,J005352.32-010539.37,,43.49,15.46,42,9.07,-0.71,1113.18,223.07,534.15,,pHVS
3,J012419.02+383757.33,,14.69,4.39,37.51,4.13,-0.49,638.51,70.53,544.06,X,pHVS
3,J092426.67+230304.36,,15.39,5.92,44.59,4.02,-0.78,1323.95,113.53,529.17,,pHVS
3,J023208.00+000501.81,,33.25,5.11,19.9,5.84,-0.62,757.18,109.76,528.8,X,pHVS
3,J030012.05+061433.53,,24.55,4.29,19.43,7.07,-0.61,677.29,140.5,528.62,X,pHVS
3,J112723.06+265823.25,,20.7,27.38,43.86,6.43,-0.73,1279.08,193.77,525.65,X,pHVS
3,J102021.54+270203.37,,18.48,3.8,48.57,4.64,-0.62,1579.27,158.17,524.46,X,pHVS
3,J182833.45+203426.74,,26.85,3.82,24.47,5.48,-0.65,754.65,99.71,591.66,,pHVS
3,J180225.43+241605.65,,23.23,4.14,50.01,3.73,-0.58,911.75,63.78,585.73,,pHVS
3,J102830.90+231840.71,,22.57,28.7,122.42,5.38,-0.71,979.83,92.63,556.05,X,pHVS
3,J183614.43+214528.91,,4.49,4.7,30.74,9.25,-0.22,1087.41,215.86,588.05,X,pHVS
3,J204114.63+154335.94,,12.97,4.22,62.78,3.59,-0.33,1317.54,116.35,581.19,X,pHVS
3,J202208.61-121331.04,,4.83,4.92,57.7,5.15,-0.72,988.1,117.93,597.4,X,pHVS
3,J192443.96+372850.01,,12.09,4.34,81.25,3.95,-0.38,2315.46,204.87,572.91,,pHVS
3,J201944.82-130424.20,,10.56,4.85,44.46,5.12,-0.52,1011.54,90.04,596.01,X,pHVS
3,J173331.93+080006.44,,21.22,1.85,37.53,4.24,-0.46,998.94,93.46,602.02,,pHVS
3,J003650.58+065828.59,,13.12,18.87,64.47,10.54,-0.4,649.74,60,564.27,X,pHVS
3,J215836.61+010714.78,,24.62,3.79,53.65,4.87,-0.41,692.31,72.05,574.67,X,pHVS
3,J112559.91+160633.94,,18.05,20.37,43.63,6.73,-0.77,581.09,55.87,560.26,,pHVS
3,J030053.81+344528.81,,14.01,8.05,75.04,3.74,-0.25,2494.56,208.42,525.44,,pHVS
3,J025450.19+333158.47,,15.39,3.86,42.79,3.93,-0.7,739.77,62.17,543.29,X,pHVS
3,J075658.96+180737.83,,2.27,4.25,79.67,5.98,-0.49,692.07,67.3,552.08,X,pHVS
3,J012336.43+393656.01,,29.11,5.03,33.78,4.94,-0.31,603.13,81.87,541.33,,pHVS
3,J202225.45+140602.39,,19.85,3.75,33.19,3.95,-0.53,780.74,68.48,585.4,X,pHVS
3,J203453.67+151745.02,,1412.37,4.24,17.64,15.47,-0.58,756.35,291.15,578.2,X,pHVS
3,J113125.40-082246.17,,20.3,4.11,22.13,5.73,-0.44,627.38,114.88,546.98,,pHVS
3,J064716.52+284807.14,,13.07,7.06,68.87,4.32,-0.1,884.6,65.25,549.03,,pHVS
3,J215649.16+462033.38,,21.86,5.81,31.86,3.94,-0.13,896.35,101.64,554.79,,pHVS
3,J064618.68+282553.77,,6.12,3.6,47.73,9.92,-0.72,764.08,91.56,548.55,X,pHVS
