Flag,Catalog,specobjid,iauidentifier,feh,distance,Pal,DelPM,NNsep,PMtot,e_PMtot,FeH,Vtot,e_Vtot,Vesc,Infalling,Claim
2,J070500.87+124738.14,3070480302863312896,J070500.87+124738.14,-0.43,4.4723992347717285,,3.23,2.6,45.47,4.45,-0.43,1100.12,113.55,529.47,,pHVS
2,J070533.27+393721.42,3313642523502602240,J070533.27+393721.42,-0.77,5.633681774139404,,19.94,6.76,18.25,3.92,-0.77,756.58,93.8,519.18,,pHVS
2,J070537.17+132309.48,3070497345293543424,J070537.17+132309.48,-0.65,7.789768695831299,,17.94,6.98,17.36,4.36,-0.65,743.61,157.44,506.01,,pHVS
2,J070555.14+133525.75,3070494871392380928,J070555.14+133525.75,-0.56,5.925403594970703,,14.86,5.05,21.74,3.6,-0.56,804.79,98.92,518.45,X,pHVS
2,J070657.47+122724.97,3070338190985422848,J070657.47+122724.97,-0.7,3.1105432510375977,,8.56,4.1,34.99,4.67,-0.7,709.5,67.95,540.93,X,pHVS
2,J070723.06+304340.66,3609791588269662208,J070723.06+304340.66,-0.48,2.914893388748169,,6.09,7.44,30.11,3.42,-0.48,663.39,55.2,541.29,X,pHVS
2,J071409.76+305127.87,3557976552065048576,J071409.76+305127.87,-0.52,9.962054252624512,,25.74,1.83,21.61,4.33,-0.52,1410,195.2,491.96,,pHVS
2,J071539.69+391306.21,3608579376632930304,J071539.69+391306.21,-0.47,3.669492721557617,,16.75,7.2,27.04,3.85,-0.47,682.27,66.01,534.76,X,pHVS
2,J072331.00+374628.22,3317038640110004224,J072331.00+374628.22,-0.22,10.759199142456055,,21.08,10.36,23.96,8.43,-0.22,1548.43,357.77,487.88,X,pHVS
2,J072334.82+403014.50,3608667887318966272,J072334.82+403014.50,-0.59,8.17595100402832,,26.25,6.22,25.16,4.66,-0.59,1333.03,177.4,502.59,X,pHVS
2,J072836.28+343351.93,2334049943058147328,J072836.28+343351.93,-0.66,7.721279621124268,,18.75,2.03,16.45,4.93,-0.66,886.27,154.72,505.37,X,pHVS
2,J073123.11+161628.13,3071588610617665536,J073123.11+161628.13,-0.66,3.411186456680298,,23.85,4.31,21.49,4.1,-0.66,577.56,56.1,538.25,,pHVS
2,J073554.05+221533.98,2340850141742865408,J073554.05+221533.98,-0.33,3.9940009117126465,,31.65,8.87,27.64,4.56,-0.33,753.04,75.78,532.84,,pHVS
2,J074232.64+211017.80,2340753659597528064,J074232.64+211017.80,0.39,16.211870193481445,,3.57,4.18,13.92,5.19,0.39,1117.9,335.38,463.76,,pHVS
2,J074256.46+275946.95,2336352045562357760,J074256.46+275946.95,-0.75,11.519408226013184,,3.22,5.9,5.28,5.6,-0.75,593.46,214.59,484.54,,pHVS
2,J074317.75+191459.14,2335226690495604736,J074317.75+191459.14,-0.61,5.992702007293701,*,9.43,8.04,18.74,5.34,-0.61,628.15,121.46,518.14,X,pHVS
2,J074344.91+182640.94,3282132444312004608,J074344.91+182640.94,-0.6,10.759672164916992,,11.14,11.3,49.7,6.38,-0.6,2558.24,347.11,489.28,X,pHVS
2,J074546.28+172248.30,3282010673399228416,J074546.28+172248.30,-0.33,4.896396160125732,,22.5,1.36,18.69,3.7,-0.33,613.54,72.82,526.47,X,pHVS
2,J074722.67+283724.79,2336379258475145216,J074722.67+283724.79,-0.34,3.8953680992126465,,25.3,5.6,24.57,4.59,-0.34,643.69,65.15,533.51,,pHVS
